title,genres,rating,coverImg,bookLink
The Hunger Games,"['Fantasy', 'Science Fiction']",4.34,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052.jpg,https://www.goodreads.com/book/show/2767052-the-hunger-games
Harry Potter and the Order of the Phoenix,"['Fantasy', 'Young Adult']",4.50,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546910265i/2.jpg,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
Pride and Prejudice,"['Classics', 'Historical Fiction']",4.29,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885.jpg,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
To Kill a Mockingbird,"['Classics', 'Fiction']",4.26,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657.jpg,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
The Book Thief,"['Historical Fiction', 'Fiction']",4.39,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1522157426i/19063.jpg,https://www.goodreads.com/book/show/19063.The_Book_Thief
Twilight,"['Fantasy', 'Young Adult']",3.65,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1700522826i/41865.jpg,https://www.goodreads.com/book/show/41865.Twilight
Animal Farm,"['Classics', 'Fiction']",3.99,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448.jpg,https://www.goodreads.com/book/show/170448.Animal_Farm
The Hobbit and The Lord of the Rings Collection,"['Fantasy', 'Fiction']",4.61,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1656625315i/30.jpg,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
The Chronicles of Narnia,"['Fantasy', 'Classics']",4.28,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661032875i/11127.jpg,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
The Fault in Our Stars,"['Young Adult', 'Fiction']",4.13,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1660273739i/11870085.jpg,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
The Picture of Dorian Gray,"['Classics', 'Fiction']",4.13,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546103428i/5297.jpg,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray
The Giving Tree,"['Childrens', 'Classics']",4.38,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1174210942i/370493.jpg,https://www.goodreads.com/book/show/370493.The_Giving_Tree
Wuthering Heights,"['Classics', 'Fiction']",3.89,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388212715i/6185.jpg,https://www.goodreads.com/book/show/6185.Wuthering_Heights
Gone with the Wind,"['Historical Fiction', 'Fiction']",4.31,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405.jpg,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind
The Perks of Being a Wallflower,"['Young Adult', 'Fiction']",4.23,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1650033115i/22628.jpg,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower
The Lightning Thief,"['Fantasy', 'Young Adult']",4.31,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1400602609i/28187.jpg,https://www.goodreads.com/book/show/28187.The_Lightning_Thief
Jane Eyre,"['Fiction', 'Classics']",4.15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210.jpg,https://www.goodreads.com/book/show/10210.Jane_Eyre
The Little Prince,"['Fiction', 'Fantasy']",4.33,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993.jpg,https://www.goodreads.com/book/show/157993.The_Little_Prince
The Great Gatsby,"['Fiction', 'School']",3.93,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1490528560i/4671.jpg,https://www.goodreads.com/book/show/4671.The_Great_Gatsby
The da Vinci Code,"['Fiction', 'Mystery']",3.92,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720313229i/968.jpg,https://www.goodreads.com/book/show/968.The_da_Vinci_Code
Crime and Punishment,"['Fiction', 'Russia']",4.27,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1382846449i/7144.jpg,https://www.goodreads.com/book/show/7144.Crime_and_Punishment
Alice’s Adventures in Wonderland,"['Fantasy', 'Fiction']",4.06,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630487234i/24213.jpg,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
Divergent,"['Young Adult', 'Dystopia']",4.14,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1618526890i/13335037.jpg,https://www.goodreads.com/book/show/13335037-divergent
Memoirs of a Geisha,"['Fiction', 'Historical Fiction']",4.15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1409595968i/929.jpg,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha
Les Misérables,"['Classics', 'Fiction']",4.20,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1411852091i/24280.jpg,https://www.goodreads.com/book/show/24280.Les_Mis_rables
The Alchemist,"['Fiction', 'Classics']",3.91,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1483412266i/865.jpg,https://www.goodreads.com/book/show/865.The_Alchemist
Lord of the Flies,"['Fiction', 'Classics']",3.69,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327869409i/7624.jpg,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies
Anne of Green Gables,"['Classics', 'Fiction']",4.31,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1615094578i/8127.jpg,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables
Romeo and Juliet,"['Plays', 'Fiction']",3.74,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1629680008i/18135.jpg,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet
City of Bones,"['Fantasy', 'Young Adult']",4.07,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432730315i/256683.jpg,https://www.goodreads.com/book/show/256683.City_of_Bones
The Hitchhiker’s Guide to the Galaxy,"['Science Fiction', 'Fiction']",4.23,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1531891848i/11.jpg,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
The Help,"['Fiction', 'Historical Fiction']",4.47,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1622355533i/4667024.jpg,https://www.goodreads.com/book/show/4667024-the-help
Dracula,"['Horror', 'Fiction']",4.02,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387151694i/17245.jpg,https://www.goodreads.com/book/show/17245.Dracula
Charlotte’s Web,"['Classics', 'Fiction']",4.20,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1628267712i/24178.jpg,https://www.goodreads.com/book/show/24178.Charlotte_s_Web
Ender’s Game,"['Science Fiction', 'Fiction']",4.31,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1408303130i/375802.jpg,https://www.goodreads.com/book/show/375802.Ender_s_Game
Of Mice and Men,"['Fiction', 'Classics']",3.89,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1511302904i/890.jpg,https://www.goodreads.com/book/show/890.Of_Mice_and_Men
Fahrenheit 451,"['Fiction', 'Science Fiction']",3.96,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1383718290i/13079982.jpg,https://www.goodreads.com/book/show/13079982-fahrenheit-451
The Catcher in the Rye,"['Classics', 'Fiction']",3.80,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1398034300i/5107.jpg,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
One Hundred Years of Solitude,"['Fiction', 'Magical Realism']",4.12,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327881361i/320.jpg,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude
Brave New World,"['Classics', 'Fiction']",3.99,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1575509280i/5129.jpg,https://www.goodreads.com/book/show/5129.Brave_New_World
A Thousand Splendid Suns,"['Fiction', 'Historical Fiction']",4.44,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1655336738i/128029.jpg,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns
The Time Traveler’s Wife,"['Fiction', 'Romance']",4.00,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1380660571i/18619684.jpg,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
The Princess Bride,"['Fantasy', 'Fiction']",4.27,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327903636i/21787.jpg,https://www.goodreads.com/book/show/21787.The_Princess_Bride
The Secret Garden,"['Classics', 'Fiction']",4.16,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327873635i/2998.jpg,https://www.goodreads.com/book/show/2998.The_Secret_Garden
The Outsiders,"['Classics', 'Young Adult']",4.13,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442129426i/231804.jpg,https://www.goodreads.com/book/show/231804.The_Outsiders
A Game of Thrones,"['Fantasy', 'Fiction']",4.44,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1562726234i/13496.jpg,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
Little Women,"['Fiction', 'Historical Fiction']",4.16,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1562690475i/1934.jpg,https://www.goodreads.com/book/show/1934.Little_Women
1984,"['Classics', 'Fiction']",4.19,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1532714506i/40961427.jpg,https://www.goodreads.com/book/show/40961427-1984
A Wrinkle in Time,"['Fantasy', 'Fiction']",3.98,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507963312i/33574273.jpg,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
The Odyssey,"['Fiction', 'Poetry']",3.81,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1711957706i/1381.jpg,https://www.goodreads.com/book/show/1381.The_Odyssey
Harry Potter and the Deathly Hallows,"['Fantasy', 'Young Adult']",4.62,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1663805647i/136251.jpg,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
Frankenstein: The 1818 Text,"['Horror', 'Fiction']",3.87,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631088473i/35031085.jpg,https://www.goodreads.com/book/show/35031085-frankenstein
The Kite Runner,"['Fiction', 'Historical Fiction']",4.34,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1579036753i/77203.jpg,https://www.goodreads.com/book/show/77203.The_Kite_Runner
The Giver,"['Young Adult', 'Fiction']",4.12,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1342493368i/3636.jpg,https://www.goodreads.com/book/show/3636.The_Giver
The Handmaid’s Tale,"['Fiction', 'Classics']",4.14,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447.jpg,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
Where the Wild Things Are,"['Picture Books', 'Childrens']",4.25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1384434560i/19543.jpg,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
The Lovely Bones,"['Fiction', 'Mystery']",3.86,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1457810586i/12232938.jpg,https://www.goodreads.com/book/show/12232938-the-lovely-bones
The Adventures of Huckleberry Finn,"['Fiction', 'Classics']",3.83,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546096879i/2956.jpg,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn
Green Eggs and Ham,"['Childrens', 'Picture Books']",4.31,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673212751i/23772.jpg,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
Life of Pi,"['Fiction', 'Fantasy']",3.94,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631251689i/4214.jpg,https://www.goodreads.com/book/show/4214.Life_of_Pi
A Tale of Two Cities,"['Classics', 'Fiction']",3.87,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1344922523i/1953.jpg,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities
Dune,"['Science Fiction', 'Fiction']",4.27,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1555447414i/44767458.jpg,https://www.goodreads.com/book/show/44767458-dune
